mass, logp, h_d, h_a, rot_b, tpsa, target
807.89, 3.26, 5, 14, 8, 224.45, antineoplastic
656.66, 2.75, 3, 14, 6, 160.83, antineoplastic
163.25, 2.33, 0, 2, 3, 12.36, antineoplastic
124.08, 1.1, 0, 3, 2, 35.53, cns
280.28, 3.09, 1, 3, 3, 67.51, antineoplastic
420.47, 2.11, 3, 8, 8, 160.23, antiinfective
351.4, 0.17, 2, 7, 1, 96.3, antineoplastic
401.85, 3.3, 3, 6, 2, 94.14, antineoplastic
382.46, 4.44, 0, 6, 6, 61.64, cns
1014.3, 8.18, 1, 12, 17, 183.06, cns
217.24, 0.73, 1, 3, 1, 60.36, cns
812.02, 4.93, 1, 14, 11, 171.85, antiinfective
530.66, 3.01, 4, 8, 3, 129.59, cardio
611.64, -1.42, 4, 13, 9, 215.33, antiinfective
313.4, 1.74, 3, 5, 4, 77.84, cardio
332.38, -1.07, 3, 5, 2, 119.05, antiinfective
645.8, 1.11, 7, 9, 7, 199.95, cns
532.47, 4.46, 0, 8, 8, 64.88, antiinfective
188.27, 3.62, 1, 1, 3, 20.23, antineoplastic
582.97, 4.32, 1, 6, 7, 119.29, antineoplastic
442.6, 4.2, 0, 5, 9, 59.08, cns
792.02, 4.47, 3, 12, 6, 178.36, antiinfective
724.97, 5.71, 3, 10, 9, 142.37, antiinfective
339.4, 4.31, 0, 0, 4, 0.0, antineoplastic
227.08, -1.02, 0, 9, 8, 157.11, cardio
517.56, -0.24, 3, 7, 6, 156.43, antiinfective
295.45, 4.68, 0, 2, 3, 3.24, cns
209.21, -0.63, 2, 7, 4, 99.08, antiinfective
334.5, 3.57, 2, 3, 2, 57.53, cns
333.39, 2.66, 2, 4, 4, 65.2, antineoplastic
279.13, 1.31, 2, 3, 3, 75.27, cns
280.36, 1.96, 2, 4, 0, 66.76, antiinfective
522.57, -1.41, 5, 13, 9, 201.15, antiinfective
1101.44, 4.37, 4, 11, 13, 235.38, antiinfective
467.49, 1.03, 3, 7, 12, 139.9, cns
235.26, 1.99, 0, 3, 1, 68.55, cns
50.08, 0.39, 2, 2, 0, 20.23, antiinfective
368.34, 1.97, 4, 7, 0, 124.29, antineoplastic
1583.58, -1.43, 18, 32, 37, 601.88, antiinfective
237.25, 0.85, 3, 4, 2, 78.79, cns
807.89, 3.26, 5, 14, 8, 224.45, antineoplastic
182.06, 2.13, 0, 1, 2, 9.23, cns
1163.16, -16.32, 24, 30, 18, 672.86, antiinfective
495.57, 3.09, 2, 7, 2, 114.46, antineoplastic
652.83, 3.16, 6, 10, 21, 176.04, cardio
389.43, 0.71, 4, 6, 5, 132.96, antiinfective
444.42, 0.91, 3, 9, 6, 152.24, antiinfective
587.44, 6.16, 1, 3, 5, 61.77, cardio
687.87, 1.91, 3, 13, 6, 165.98, antiinfective
406.55, -0.86, 5, 8, 7, 122.49, antiinfective
271.77, 1.0, 2, 3, 6, 56.76, cns
279.26, -1.68, 4, 9, 2, 139.54, antiinfective
877.05, 4.74, 6, 15, 5, 216.66, antiinfective
687.87, 1.91, 3, 13, 6, 165.98, antiinfective
350.39, 3.7, 1, 4, 3, 51.8, antineoplastic
794.41, 5.39, 3, 11, 8, 156.47, antineoplastic
151.16, 0.79, 1, 2, 2, 52.32, antineoplastic
1648.95, 10.55, 6, 22, 18, 380.06, antiinfective
555.5, -2.63, 7, 10, 11, 279.61, cns
159.59, -0.38, 2, 3, 3, 66.4, antiinfective
490.52, -0.04, 2, 11, 9, 156.61, antiinfective
251.37, 2.38, 2, 3, 8, 41.49, cardio
812.02, 4.93, 1, 14, 11, 171.85, antiinfective
288.48, 5.73, 1, 1, 1, 20.23, antineoplastic
460.49, -1.24, 3, 7, 5, 150.98, antiinfective
277.26, 0.64, 4, 3, 3, 106.86, cns
320.47, 5.43, 1, 2, 14, 49.83, cardio
1228.46, 1.14, 12, 14, 19, 379.75, antiinfective
194.27, 3.22, 2, 2, 5, 40.46, antiinfective
796.96, 2.82, 8, 12, 16, 224.34, antiinfective
246.19, -1.68, 3, 6, 2, 104.55, antineoplastic
845.89, 1.63, 7, 18, 9, 260.67, antiinfective
813.98, 3.62, 0, 16, 9, 184.19, antiinfective
300.4, 3.59, 0, 3, 0, 43.37, antineoplastic
405.42, -2.15, 4, 6, 6, 170.59, cns
310.44, 3.94, 1, 2, 2, 28.26, cns
281.27, 2.38, 1, 4, 2, 84.6, cns
177.25, 2.42, 0, 1, 4, 26.07, cns
510.48, -0.17, 2, 12, 9, 189.06, antiinfective
242.32, 2.0, 2, 2, 0, 58.88, cns
222.63, -0.21, 2, 4, 5, 104.86, antineoplastic
496.6, 5.67, 4, 5, 2, 132.13, antineoplastic
519.45, 3.04, 1, 15, 13, 185.44, antiinfective
334.4, 0.86, 2, 4, 4, 86.71, antiinfective
898.05, 3.91, 1, 18, 14, 218.19, antiinfective
342.83, 2.04, 1, 4, 1, 50.69, cns
331.34, 0.88, 1, 6, 5, 85.08, antiinfective
164.74, -3.05, 3, 5, 0, 106.81, antiinfective
309.39, 3.06, 0, 3, 0, 18.84, cns
222.16, 1.32, 1, 7, 3, 121.22, antiinfective
354.46, 3.2, 3, 7, 8, 87.89, antineoplastic
155.28, 2.66, 0, 1, 0, 3.24, cardio
132.16, 1.9, 0, 1, 2, 17.07, antineoplastic
280.36, 1.96, 2, 4, 0, 66.76, antiinfective
642.65, 3.61, 7, 13, 13, 220.49, antiinfective
809.86, 3.17, 3, 16, 7, 206.05, antineoplastic
1085.16, -0.25, 11, 24, 15, 358.2, antineoplastic
293.37, 2.68, 1, 3, 4, 45.23, antineoplastic
342.36, 2.18, 3, 6, 5, 114.05, antineoplastic
686.76, -1.94, 10, 10, 19, 269.51, cns
245.33, 2.35, 2, 3, 2, 73.1, cardio
176.22, 1.46, 1, 3, 1, 47.61, cns
326.44, 3.4, 1, 4, 4, 45.59, cardio
392.54, 3.56, 0, 3, 6, 32.78, cns
707.87, 4.99, 0, 12, 13, 110.16, cardio
422.45, -2.22, 6, 9, 8, 215.67, antiinfective
562.66, 4.79, 0, 7, 14, 113.04, cardio
287.3, 0.64, 0, 7, 3, 106.02, antiinfective
173.16, 0.04, 0, 1, 3, 26.1, antineoplastic
658.74, 6.65, 2, 8, 8, 79.44, cns
103.14, 0.17, 1, 2, 2, 51.4, cardio
217.24, 0.73, 1, 3, 1, 60.36, cns
380.42, 0.95, 2, 6, 5, 105.17, antiinfective
147.18, 1.66, 2, 1, 1, 36.02, antineoplastic
348.38, -1.14, 3, 6, 4, 128.28, antiinfective
305.76, 2.73, 4, 4, 1, 72.72, cardio
563.67, 6.12, 1, 6, 14, 110.21, cardio
611.62, 3.0, 4, 11, 8, 202.84, antiinfective
579.65, 4.45, 5, 7, 13, 164.83, antineoplastic
311.47, 3.96, 1, 2, 5, 23.47, cns
164.18, -2.97, 5, 5, 1, 92.95, antiinfective
534.58, -1.25, 5, 12, 6, 198.89, antiinfective
523.97, 7.53, 1, 2, 7, 23.47, cns
342.4, 1.79, 4, 6, 2, 100.72, antiinfective
316.33, 1.5, 2, 3, 4, 61.6, cns
414.41, 0.33, 4, 8, 11, 174.56, cardio
710.81, 0.26, 6, 14, 8, 210.9, cardio
413.56, 5.2, 0, 5, 8, 28.6, cardio
320.47, 5.43, 1, 2, 14, 49.83, cardio
287.12, 3.08, 2, 4, 2, 77.82, cardio
228.08, 3.56, 1, 2, 0, 33.12, antiinfective
293.45, 3.87, 0, 4, 11, 66.43, cardio
929.02, -7.95, 12, 20, 28, 438.76, cns
335.36, 0.22, 0, 7, 3, 140.47, cardio
346.38, 5.0, 0, 2, 4, 17.82, antiinfective
251.13, 0.21, 2, 6, 5, 127.72, antiinfective
406.36, 5.41, 1, 4, 9, 37.39, antineoplastic
383.42, 1.27, 0, 8, 4, 103.35, antiinfective
434.53, 4.6, 1, 4, 5, 26.71, cns
324.43, 1.06, 2, 6, 2, 69.64, antiinfective
376.58, 5.66, 3, 3, 10, 60.69, cns
312.54, 4.76, 1, 2, 16, 32.34, antiinfective
540.61, 2.12, 4, 12, 8, 203.48, antiinfective
299.41, 3.43, 1, 3, 3, 40.54, cns
313.4, 3.19, 1, 4, 6, 39.72, cns
590.68, 3.05, 5, 9, 8, 184.02, antineoplastic
959.13, -1.03, 12, 19, 9, 315.21, antiinfective
484.97, 4.05, 1, 5, 4, 80.67, cardio
2749.31, -17.37, 44, 46, 39, 1195.82, cardio
844.27, 2.8, 5, 15, 6, 217.8, antineoplastic
326.44, 3.4, 1, 4, 4, 45.59, cardio
500.51, 3.27, 4, 6, 8, 152.69, antineoplastic
441.48, 3.23, 4, 6, 5, 133.16, antiinfective
209.25, 2.55, 2, 3, 0, 64.93, antiinfective
191.23, 1.71, 2, 2, 3, 45.25, cns
307.4, 2.99, 1, 3, 4, 45.23, antineoplastic
474.37, 1.23, 6, 10, 9, 208.12, antiinfective
434.88, 1.93, 1, 7, 4, 119.06, antiinfective
188.29, 0.77, 1, 0, 4, 4.44, cns
354.45, 2.95, 1, 5, 2, 54.7, cardio
584.66, -1.51, 8, 12, 4, 206.6, cardio
1030.14, -3.09, 14, 17, 15, 377.42, antiinfective
311.38, 2.42, 0, 4, 2, 30.93, cns
665.73, 0.12, 7, 13, 3, 230.99, antiinfective
1906.33, 3.5, 23, 17, 48, 620.71, antiinfective
224.2, -1.55, 2, 8, 4, 122.14, antiinfective
585.61, 1.41, 6, 12, 4, 186.45, antineoplastic
348.4, 2.39, 1, 5, 6, 52.49, cns
843.06, 2.33, 4, 16, 11, 195.38, antiinfective
358.14, 4.47, 0, 0, 3, 0.0, cardio
393.47, 4.51, 2, 5, 5, 80.32, antineoplastic
171.24, 1.9, 1, 1, 2, 12.03, cns
868.46, 8.66, 3, 11, 13, 172.03, antineoplastic
546.59, -1.3, 3, 11, 9, 191.22, antiinfective
242.23, -1.69, 0, 7, 3, 87.03, cardio
277.33, 2.07, 1, 5, 3, 100.04, antiinfective
494.57, 2.5, 2, 6, 6, 113.01, antiinfective
211.33, 1.58, 2, 4, 3, 50.94, cns
685.7, -9.23, 15, 15, 10, 392.86, antiinfective
507.18, 0.15, 5, 11, 9, 272.67, antiinfective
847.02, 4.62, 5, 14, 4, 205.55, antiinfective
278.33, -0.84, 4, 6, 8, 118.72, antiinfective
460.49, -1.24, 3, 7, 5, 150.98, antiinfective
354.1, -1.22, 3, 6, 2, 104.55, antiinfective
129.09, -0.51, 2, 3, 0, 71.77, antiinfective
666.91, 5.48, 2, 4, 6, 46.94, cns
2067.94, -6.5, 29, 46, 16, 816.22, antiinfective
478.89, 0.28, 6, 9, 2, 181.62, antiinfective
1290.55, 5.93, 7, 24, 11, 350.18, antiinfective
1083.21, 2.69, 9, 21, 6, 353.54, antiinfective
361.42, 1.06, 2, 5, 5, 99.07, antiinfective
197.19, -0.03, 4, 4, 3, 103.78, antiinfective
341.41, 1.53, 2, 5, 2, 70.0, cns
509.58, 6.59, 2, 4, 11, 79.23, antineoplastic
809.86, 3.17, 3, 16, 7, 206.05, antineoplastic
294.4, 3.16, 1, 3, 3, 36.36, antiinfective
540.71, 1.43, 4, 8, 2, 142.7, antineoplastic
297.42, 4.63, 1, 3, 6, 21.26, cns
246.31, 4.24, 2, 0, 2, 31.58, antineoplastic
210.3, 2.98, 1, 3, 2, 37.3, antiinfective
835.09, 2.2, 5, 16, 12, 196.33, antiinfective
887.12, 6.03, 2, 14, 9, 159.06, antiinfective
268.27, -2.71, 2, 6, 3, 98.82, antineoplastic
257.38, 3.08, 1, 2, 0, 23.47, cns
408.55, 1.94, 3, 5, 5, 86.71, cardio
695.76, 3.63, 4, 12, 2, 194.99, antiinfective
347.24, 2.92, 2, 4, 5, 61.8, cns
810.99, 3.99, 3, 12, 7, 154.1, antineoplastic
312.41, 3.23, 0, 5, 2, 46.15, antiinfective
440.41, 5.18, 1, 3, 5, 49.77, antineoplastic
199.99, -0.66, 2, 4, 3, 83.6, antiinfective
645.68, -1.11, 4, 13, 9, 220.26, antiinfective
241.24, 0.53, 2, 5, 6, 91.01, cns
546.59, -2.52, 2, 12, 9, 194.05, antiinfective
236.74, 3.73, 0, 0, 0, 0.0, antiinfective
258.37, 2.42, 2, 4, 1, 77.82, antineoplastic
291.44, 4.88, 0, 1, 4, 3.24, antiinfective
810.87, 1.52, 5, 15, 9, 218.25, antineoplastic
475.59, -3.2, 8, 12, 8, 199.73, antiinfective
259.35, 2.58, 2, 3, 6, 41.49, cardio
160.18, 0.92, 2, 4, 1, 63.83, cardio
761.85, 3.41, 4, 15, 3, 168.72, antineoplastic
432.52, 2.95, 2, 7, 4, 93.35, antineoplastic
148.16, -0.71, 2, 4, 4, 66.76, antiinfective
941.09, 6.07, 5, 16, 5, 226.22, antiinfective
415.57, 5.05, 2, 4, 10, 71.55, antiinfective
378.45, 1.48, 2, 5, 6, 95.94, antiinfective
261.71, 3.37, 1, 3, 1, 42.35, cardio
515.65, 4.07, 2, 6, 12, 111.16, cardio
406.55, -0.86, 5, 8, 7, 122.49, antiinfective
225.27, 0.19, 1, 3, 4, 81.59, cns
177.29, 1.25, 0, 3, 5, 29.43, antineoplastic
301.33, 3.03, 2, 5, 3, 84.08, antineoplastic
477.65, 3.1, 4, 6, 12, 107.53, antineoplastic
456.65, 1.77, 3, 5, 7, 67.17, cardio
497.5, 1.02, 5, 10, 3, 176.61, antineoplastic
484.5, -7.29, 11, 15, 6, 282.61, antiinfective
531.44, 4.21, 0, 7, 7, 69.06, antiinfective
505.46, 3.34, 6, 2, 9, 177.58, antiinfective
656.66, 2.75, 3, 14, 6, 160.83, antineoplastic
844.41, 6.43, 4, 12, 18, 211.95, cardio
811.88, 3.16, 4, 16, 9, 217.05, antineoplastic
301.34, 0.75, 2, 5, 0, 70.0, cns
343.88, 4.13, 0, 4, 0, 18.84, cns
384.43, 2.6, 1, 7, 4, 100.52, antiinfective
639.83, 5.73, 2, 9, 3, 116.04, antiinfective
122.12, -2.31, 4, 4, 3, 80.92, cardio
308.45, 3.0, 1, 1, 4, 13.67, cns
1140.25, -0.93, 14, 17, 14, 377.42, antiinfective
1087.25, 0.59, 4, 18, 6, 301.8, antiinfective
428.53, 2.69, 2, 5, 5, 72.31, cardio
269.39, 3.66, 1, 2, 8, 21.26, cns
926.11, 0.94, 12, 17, 3, 319.61, antiinfective
813.98, 2.77, 3, 16, 12, 206.05, antiinfective
959.13, -1.03, 12, 19, 9, 315.21, antiinfective
785.03, 2.15, 9, 13, 10, 218.99, antineoplastic
297.4, 3.71, 1, 3, 2, 36.61, cns
309.35, 0.99, 3, 5, 3, 136.6, antiinfective
824.97, 3.52, 3, 12, 8, 171.17, antineoplastic
654.84, 1.89, 9, 11, 5, 208.37, antiinfective
840.79, -0.61, 11, 18, 9, 320.56, antiinfective
554.53, 3.29, 3, 10, 12, 164.95, cardio
795.03, 5.72, 4, 10, 6, 132.16, cns
260.22, -1.57, 3, 6, 2, 104.55, antiinfective
672.86, 4.85, 3, 10, 5, 140.98, antiinfective
283.19, 2.91, 0, 3, 1, 15.6, antiinfective
134.25, 2.54, 0, 3, 0, 0.0, antineoplastic
150.24, 1.89, 0, 0, 2, 0.0, antiinfective
364.4, -1.31, 3, 7, 4, 135.79, antiinfective
380.36, 0.61, 2, 6, 2, 84.2, antineoplastic
164.97, 2.03, 0, 1, 2, 9.23, cns
801.02, 1.12, 10, 14, 10, 239.22, cns
831.54, -0.47, 9, 15, 14, 224.75, antiinfective
401.85, 3.3, 3, 6, 2, 94.14, antineoplastic
280.33, -0.1, 0, 6, 3, 77.8, cardio
346.24, 2.92, 2, 4, 5, 61.8, cns
395.42, -0.17, 4, 9, 5, 158.21, antiinfective
600.71, 2.46, 3, 9, 7, 147.16, antiinfective
389.47, 2.56, 2, 5, 4, 84.86, cns
372.54, 4.46, 0, 2, 4, 9.49, antiinfective
287.36, 1.42, 2, 4, 0, 52.93, cns
812.89, 1.74, 5, 15, 9, 218.25, antineoplastic
1439.49, -2.98, 18, 19, 45, 598.43, antineoplastic
389.43, 0.71, 4, 6, 5, 132.96, antiinfective
496.56, -5.61, 10, 14, 6, 248.39, antiinfective
326.44, 3.4, 1, 4, 4, 45.59, cardio
244.22, -0.54, 2, 5, 2, 84.32, antiinfective
464.51, -3.98, 6, 10, 14, 219.38, cns
542.71, 4.92, 2, 7, 1, 94.45, antiinfective
453.5, 0.67, 1, 7, 6, 115.84, antiinfective
1009.19, 4.69, 8, 16, 26, 286.99, cardio
377.01, -0.97, 4, 6, 4, 101.23, antiinfective
146.19, -1.66, 1, 3, 4, 52.16, cardio
602.59, -0.93, 3, 13, 2, 190.95, cns
480.57, -1.28, 2, 10, 7, 150.04, antiinfective
287.36, 1.85, 1, 4, 1, 41.93, cns
476.87, 0.06, 6, 9, 2, 181.62, antiinfective
272.18, 3.33, 0, 2, 6, 12.47, cns
422.45, -2.22, 6, 9, 8, 215.67, antiinfective
118.14, 1.56, 1, 1, 0, 28.68, antiinfective
268.23, -2.32, 4, 8, 2, 133.49, antiinfective
343.22, 4.23, 0, 4, 1, 43.07, cns
426.56, 0.67, 4, 6, 4, 165.72, cardio
333.14, -0.46, 3, 6, 3, 104.55, antiinfective
769.97, 6.07, 3, 12, 4, 154.73, antiinfective
822.95, 3.43, 6, 15, 4, 216.66, antiinfective
548.59, -3.22, 7, 11, 19, 243.68, antiinfective
372.72, 2.65, 3, 7, 0, 125.04, antineoplastic
285.77, 4.26, 0, 2, 0, 12.47, cns
278.38, 1.59, 2, 5, 7, 91.47, antiinfective
244.22, -0.54, 2, 5, 2, 84.32, antiinfective
940.99, -0.17, 9, 21, 14, 308.51, antineoplastic
334.09, -2.03, 4, 4, 7, 126.64, antiinfective
487.51, -2.05, 3, 8, 14, 212.61, antineoplastic
205.3, 2.6, 0, 2, 5, 20.31, cns
246.27, 1.04, 1, 3, 2, 66.48, cns
375.51, 3.33, 3, 4, 3, 81.0, cns
1203.5, -5.24, 18, 18, 29, 490.66, antiinfective
213.19, -0.46, 5, 5, 3, 124.01, cns
324.78, 2.85, 0, 6, 3, 61.42, antineoplastic
457.43, -3.11, 7, 12, 7, 202.32, antineoplastic
384.21, 2.08, 2, 2, 0, 52.04, antineoplastic
267.25, -1.98, 4, 9, 2, 139.54, antiinfective
753.94, 2.73, 5, 10, 6, 164.82, antineoplastic
412.47, -0.06, 6, 8, 9, 144.53, antineoplastic
298.35, 1.02, 3, 4, 7, 83.12, cns
512.38, 3.28, 2, 9, 7, 100.11, antineoplastic
664.91, 9.11, 0, 8, 19, 90.46, cns
1415.58, -7.7, 20, 31, 35, 627.07, antineoplastic
203.24, -1.24, 0, 4, 5, 66.43, cns
367.81, 0.62, 3, 5, 4, 112.73, antiinfective
622.84, 4.69, 4, 9, 7, 134.91, antiinfective
602.59, -0.93, 3, 13, 2, 190.95, cns
495.64, 5.27, 1, 5, 11, 67.45, cardio
307.44, 4.42, 0, 2, 4, 12.47, cns
248.28, 1.56, 3, 3, 4, 74.35, cardio
410.47, 2.09, 3, 4, 8, 106.94, cardio
769.17, 8.33, 4, 8, 28, 139.28, cardio
317.39, 2.45, 5, 5, 8, 92.95, cardio
935.01, 8.31, 6, 10, 8, 274.84, antiinfective
506.59, 1.29, 3, 11, 7, 160.1, antiinfective
358.44, 2.13, 1, 5, 5, 67.87, cns
382.53, 5.31, 0, 2, 4, 12.05, antiinfective
557.53, 4.85, 0, 5, 6, 72.08, antiinfective
276.21, 3.21, 1, 3, 3, 72.24, antineoplastic
1105.15, -6.33, 4, 32, 16, 441.76, antiinfective
494.67, 7.27, 1, 5, 0, 64.99, antiinfective
263.38, 2.73, 2, 3, 4, 43.7, cns
312.41, 1.29, 2, 5, 7, 90.65, antiinfective
793.95, 1.61, 5, 15, 8, 218.82, cardio
422.2, -0.01, 2, 8, 10, 158.9, antiinfective
265.36, 3.62, 1, 2, 3, 21.26, cns
332.38, 2.44, 2, 4, 4, 92.34, antiinfective
299.35, -0.39, 3, 5, 6, 116.22, antiinfective
661.8, 3.82, 5, 8, 4, 121.65, cns
408.55, 1.94, 3, 5, 5, 86.71, cardio
168.15, -0.14, 0, 4, 0, 52.6, antineoplastic
326.44, 1.55, 2, 4, 1, 46.94, cardio
280.36, 1.96, 2, 4, 0, 66.76, antiinfective
250.33, 1.62, 1, 5, 1, 61.88, cardio
454.61, 5.09, 0, 6, 13, 63.95, cardio
352.22, 4.31, 2, 4, 4, 70.92, antiinfective
389.43, 0.71, 4, 6, 5, 132.96, antiinfective
328.41, 4.61, 2, 2, 8, 74.6, antineoplastic
334.37, 2.7, 2, 6, 7, 77.38, antineoplastic
269.13, 4.0, 2, 2, 2, 40.46, antiinfective
286.72, 3.35, 1, 2, 1, 49.41, cns
339.2, 0.32, 2, 2, 2, 74.6, antineoplastic
493.75, 4.97, 1, 6, 9, 66.84, antiinfective
349.41, 0.35, 3, 5, 4, 112.73, antiinfective
582.97, 4.32, 1, 6, 7, 119.29, antineoplastic
395.48, 3.22, 1, 4, 6, 52.65, cns
926.11, 0.94, 12, 17, 3, 319.61, antiinfective
504.97, 0.51, 5, 8, 9, 148.79, antiinfective
364.78, 2.69, 2, 6, 0, 96.36, antiinfective
481.6, 3.95, 1, 5, 8, 65.9, antineoplastic
596.12, 9.69, 0, 1, 20, 9.23, antiinfective
924.09, 0.71, 12, 17, 3, 319.61, antiinfective
548.67, 2.29, 3, 9, 5, 131.75, cardio
282.39, 3.24, 2, 3, 4, 35.5, cns
381.52, 4.84, 0, 4, 6, 30.93, cardio
368.67, 6.85, 1, 1, 16, 20.23, antiinfective
295.38, 3.63, 2, 3, 2, 43.7, cns
267.25, -0.2, 2, 6, 3, 133.08, antiinfective
334.09, -2.03, 4, 4, 7, 126.64, antiinfective
510.48, -0.17, 2, 12, 9, 189.06, antiinfective
370.45, 4.38, 1, 5, 2, 68.9, antiinfective
424.39, -0.54, 3, 9, 7, 173.76, antiinfective
465.53, 1.3, 2, 9, 7, 137.26, antiinfective
303.2, 3.5, 1, 2, 4, 24.92, cns
493.75, 4.97, 1, 6, 9, 66.84, antiinfective
496.56, -5.61, 10, 14, 6, 248.39, antiinfective
350.51, 4.38, 0, 2, 6, 23.55, cns
284.35, 2.19, 1, 5, 0, 57.15, antiinfective
103.17, -1.51, 3, 3, 4, 64.07, cardio
265.31, 0.5, 2, 5, 4, 67.79, antiinfective
413.17, 1.92, 2, 8, 2, 141.0, cns
627.64, 1.55, 5, 13, 7, 204.3, antineoplastic
257.38, 3.1, 1, 2, 2, 23.47, cns
545.58, -2.63, 2, 12, 9, 194.05, antiinfective
869.15, 3.34, 4, 15, 12, 186.15, antiinfective
522.57, -0.35, 2, 13, 8, 180.25, antiinfective
135.14, -0.02, 0, 2, 2, 40.13, antineoplastic
321.47, 3.87, 1, 3, 4, 20.2, cns
101.11, -0.44, 2, 2, 1, 63.32, cns
1270.29, -3.9, 16, 23, 18, 510.14, antiinfective
835.09, 2.2, 5, 16, 12, 196.33, antiinfective
605.64, 3.21, 3, 13, 12, 200.11, cardio
222.16, 1.32, 1, 7, 3, 121.22, antiinfective
555.58, -7.79, 12, 16, 10, 311.71, antiinfective
383.72, 4.45, 2, 3, 5, 37.2, antiinfective
305.16, 3.78, 1, 2, 1, 41.46, cns
509.65, 4.38, 1, 7, 4, 79.59, cns
441.48, 3.23, 4, 6, 5, 133.16, antiinfective
345.37, 2.56, 1, 8, 4, 100.06, cns
822.95, 3.43, 6, 15, 4, 216.66, antiinfective
824.97, 3.52, 3, 12, 8, 171.17, antineoplastic
585.61, -8.42, 13, 17, 10, 331.94, antiinfective
1227.4, -6.98, 16, 19, 25, 512.85, cardio
527.52, -7.27, 11, 16, 6, 272.06, antiinfective
796.96, 2.82, 8, 12, 16, 224.34, antiinfective
286.31, 1.68, 0, 4, 1, 50.49, cns
462.51, -0.23, 3, 10, 7, 150.54, antiinfective
298.38, 2.84, 0, 5, 1, 46.15, antiinfective
185.22, -0.09, 2, 3, 1, 60.77, cns
284.45, 4.25, 0, 2, 4, 8.17, cns
369.23, 0.92, 4, 4, 2, 122.3, antineoplastic
112.13, -1.01, 0, 4, 0, 63.19, antiinfective
320.47, 5.43, 1, 2, 14, 49.83, cardio
436.96, 4.19, 2, 4, 8, 86.71, cns
584.66, -1.51, 8, 12, 4, 206.6, cardio
142.18, 2.02, 1, 3, 0, 33.37, antiinfective
297.42, 4.63, 1, 3, 6, 21.26, cns
656.66, 2.75, 3, 14, 6, 160.83, antineoplastic
959.13, -1.03, 12, 19, 9, 315.21, antiinfective
358.36, -0.24, 5, 10, 4, 151.57, cardio
1664.92, 0.77, 17, 31, 12, 562.74, antiinfective
873.09, 5.38, 3, 14, 8, 170.06, antiinfective
505.58, -0.04, 2, 12, 7, 162.93, antiinfective
460.49, -1.24, 3, 7, 5, 150.98, antiinfective
543.53, 0.0, 6, 12, 5, 206.07, antineoplastic
395.44, -0.74, 1, 8, 6, 115.84, antiinfective
170.21, -0.13, 1, 2, 3, 63.4, cns
316.45, 4.83, 1, 2, 4, 24.92, cns
439.02, 0.83, 5, 7, 9, 111.05, antiinfective
422.45, -2.22, 6, 9, 8, 215.67, antiinfective
307.31, 2.96, 1, 4, 2, 68.39, antineoplastic
42.02, 0.87, 0, 0, 0, 58.7, cardio
623.02, 8.27, 0, 4, 19, 52.6, antiinfective
74.12, 1.04, 0, 1, 2, 9.23, cns
706.89, 4.44, 5, 9, 14, 171.22, antiinfective
254.29, -0.19, 3, 5, 6, 93.81, cardio
338.36, -0.48, 0, 8, 10, 77.08, antineoplastic
672.74, 4.55, 0, 12, 11, 104.7, antiinfective
895.07, -7.7, 16, 24, 12, 427.44, antiinfective
1415.58, -7.7, 20, 31, 35, 627.07, antineoplastic
593.65, -0.19, 2, 16, 9, 206.11, antiinfective
936.11, -0.85, 11, 16, 11, 286.2, antineoplastic
236.31, 1.77, 1, 4, 6, 55.56, cns
284.35, 2.19, 1, 5, 0, 57.15, antiinfective
230.26, 2.55, 0, 3, 3, 35.53, cns
500.43, 8.64, 1, 2, 10, 23.47, antiinfective
385.85, 2.27, 3, 4, 4, 122.12, antineoplastic
1349.51, 3.86, 6, 19, 7, 363.76, antiinfective
593.65, -0.19, 2, 16, 9, 206.11, antiinfective
201.23, 1.64, 0, 2, 1, 37.38, antineoplastic
488.02, 3.31, 3, 9, 7, 106.51, antineoplastic
268.36, 1.38, 3, 5, 2, 88.48, antiinfective
267.37, 1.61, 2, 4, 9, 50.72, cardio
222.25, 2.32, 0, 4, 0, 27.69, cns
275.42, 2.09, 2, 1, 4, 33.54, cns
489.52, -1.38, 1, 12, 9, 159.44, antiinfective
280.36, 1.96, 2, 4, 0, 66.76, antiinfective
974.63, 8.83, 2, 11, 16, 128.36, antineoplastic
451.48, 1.72, 1, 9, 4, 112.27, cardio
525.6, 2.66, 2, 8, 1, 139.04, antiinfective
653.64, 1.73, 5, 14, 5, 213.51, antineoplastic
547.67, 2.38, 3, 8, 11, 140.42, antiinfective
828.01, 3.01, 3, 16, 12, 206.05, antiinfective
602.59, -0.93, 3, 13, 2, 190.95, cns
393.44, 3.41, 1, 7, 10, 74.73, antineoplastic
1022.24, 2.32, 4, 14, 10, 231.2, antiinfective
504.97, 0.51, 5, 8, 9, 148.79, antiinfective
225.25, 2.08, 2, 2, 1, 57.78, cns
142.16, -0.91, 1, 2, 2, 63.4, cns
242.32, 2.0, 2, 2, 0, 58.88, cns
1109.08, 4.94, 8, 20, 14, 357.72, antineoplastic
239.27, 0.92, 3, 5, 4, 92.78, cardio
656.66, 2.75, 3, 14, 6, 160.83, antineoplastic
348.36, 2.08, 1, 6, 1, 81.42, antineoplastic
378.38, -5.88, 4, 9, 11, 203.4, antineoplastic
270.42, 3.15, 2, 2, 4, 52.04, cns
152.24, 2.28, 1, 1, 2, 20.23, antineoplastic
